time,CPI,wage,return of equity,10 year,3 month
2013/8/15,0.002148237,0.004098099,7.771162629,1.909,0.03
2013/9/15,0.001684895,0.00364282,-2.139562298,2.555,0.02
2013/10/15,0.000671968,-0.000888018,5.928600097,2.532,0.04
2013/11/15,0.00175792,0.004761468,5.991563422,2.526,0.06
2013/12/15,0.002719781,0.00351732,4.248605163,2.762,0.07
2014/1/15,0.002508016,0.00677212,4.615348992,2.811,0.02
2014/2/15,0.000785776,0.006406916,-3.630241511,2.713,0.05
2014/3/15,0.001171373,0.007256834,8.011340842,2.716,0.05
2014/4/15,0.002535005,0.003735947,4.165786599,2.752,0.03
2014/5/15,0.001302353,0.004855728,1.962414188,2.716,0.04
2014/6/15,0.000899482,0.005742986,4.2319859,2.507,0.04
2014/7/15,0.001025247,0.004115393,4.511727455,2.514,0.03
2014/8/15,-0.000404621,0.005303183,-0.381063791,2.501,0.03
2014/9/15,0.001463129,0.003199936,6.063060021,2.369,0.02
2014/10/15,0.000593659,0.005091555,-0.785688165,2.381,0.01
